"Camaïeu","Cashback Camaïeu Code Promo Camaïeu","Leader du prêt-à-porter femme en France avec :


- Plus de 3 millions de clientes,
- Plus de 1 000 articles disponibles sur le site en permanence,
- 600 magasins en France,
- Ses propres collections au meilleur rapport qualité/prix du marché,
- Un site e-commerce avec une excellente transfo,
- Chaque jour, une vingtaine de nouveaux articles en ligne ! ",7,26,"gif","merc01",5
"Levi’s","Cashback Levi’s Code Promo Levi’s","Levi’s, inventeur du « blue jean », innove depuis ses débuts en 1873 en suivant les nouvelles tendances, les évolutions du marché, en s’adaptant à nos besoins, à notre quotidien et aux problématiques environnementales. Levi’s a su devenir la pièce indispensable à toute garde robe, féminine et masculine.",7,26,"gif","merc02",5
"GoVoyages","Cashback GoVoyages Code Promo GoVoyages","Govoyages propose toute une gamme large de produits touristiques complémentaires partout dans le monde : séjours, hôtels, packages dynamiques (vol/train + hôtel sur mesure), croisières, thalasso, ski, location de voitures, location de vacances... au meilleur prix du marché.",2,2,"gif","merc03",5
"La Halle aux Chaussures","Cashback La Halle aux Chaussures Code Promo La Halle aux Chaussures","La Halle aux Chaussures - la chaussure pour toute la famille à petit prix - et profitez de la notoriété de la marque. La Halle aux Chaussures c'est aussi des Bonnes Affaires et des Coups de Cœur sur les Chaussures Enfant, avec des promotions dédiées !",7,29,"gif","merc04",5
"Panini Store","Cashback Panini Store Code Promo Panini Store","Panini Store est une boutique connue pour ses albums d'images et ses cartes à collectionner. Le site propose à ses clients des collections sur les personnages et les thèmes préférés des enfants. Des vignettes football, à celles de basketball en passant par les héros Disney, tous les héros des enfants sont chez Panini! Le magasin propose aussi tout un ensemble de produits dérivés",13,39,"gif","merc05",5
"Foot Center","Cashback Foot Center Code Promo Foot Center","Magasin en ligne de la célèbre société Panini, Foot Center est le spécialiste du football et de ses produits officiels (maillots, ballons, écharpes...). La boutique propose à vos internautes de prolonger leur passion du jeu en portant les couleurs de leur équipe préférée !",5,18,"gif","merc06",5
"Elite-Auto","Cashback Elite-Auto Code Promo Elite-Auto","Elite-Auto est un mandataire automobile vendant des voitures neuves. En achetant votre véhicule neuf auprès d'un mandataire, vous économisez de 7% à 35% par rapport au prix catalogue du constructeur. Vous pouvez ainsi avoir votre véhicule neuf moins cher avec Elite-auto. ",14,63,"gif","merc07",5
"zepass.com","Cashback zepass.com Code Promo zepass.com","zepass.com, c'est, depuis 2002, le spécialiste de l'achat et revente légale de billets d'occasion entre internautes : train, concerts, matchs, parcs d'attraction, musées, etc. Le dépôt d’annonce est 100% gratuit : zéro frais d’insertion, zéro commission.",13,38,"gif","merc08",5
"Interflora","Cashback Interflora Code Promo Interflora","Interflora est une société leader sur le marché de la transmission florale, livraison de cadeaux fleurs. La marque est leader sur le marché français : En France, près de 5 200 fleuristes interflora desservent 36 000 communes et 25 000 lieux-dits. Avec plus de 50 bouquets, plantes, compositions florales extraits de l'album, Interflora, offre la possibilité de marquer, de son émotion, les nombreuses occasions de la vie. Commande en ligne - paiement sécurisé - garantie de satisfaction ",8,35,"gif","merc09",5
"Best Western","Cashback Best Western Code Promo Best Western","Sur BestWestern.fr vous trouverez :
    290 hôtels 3 et 4 étoiles en France, 4100 hôtels au total dans 82 pays
    Des hôtels authentiques et des standards de qualité : petit-déjeuner, service..
    1ère chaîne en France en nombre d'hôtels éco-labellisés
    Le meilleur tarif garanti sur www.bestwestern.fr : une raison de plus de résevrer en ligne",2,4,"gif","merc10",5
"Destinia.com","Cashback Destinia.com Code Promo Destinia.com","Destinia.com est une agence de voyage en ligne présente sur le marché depuis 2001. Sur ce site, vous trouverez des offres d'hôtels, packages vol+hôtel et locations de voiture aux meilleurs prix!",2,3,"gif","merc11",5
"EdenFlirt","Cashback EdenFlirt Code Promo EdenFlirt","Site de rencontres lancé en 2007, edenflirt est en pleine croissance et génère des milliers d’inscrits chaque jour !",16,72,"gif","merc12",5
"Citadines","Cashback Citadines Code Promo Citadines","Les apart'hôtels Citadines vous proposent la location d'appartements confortables, équipés, dans des résidences hôtelières, pour tout séjour à partir d'une nuit au coeur des grandes villes européennes. ",2,4,"gif","merc13",5
"Douglas Parfumeries","Cashback Parfumerie Douglas Code Promo Parfumerie Douglas","Grâce à sa conquête internationale depuis 1974, Douglas, leader allemand, est devenu leader européen de la parfumerie. Dans sa boutique en ligne, Douglas offre les meilleurs produits dans les domaines du parfum, du maquillage et des soins. ",10,45,"gif","merc14",5
"Venere Hôtels","Cashback Venere Hôtels Code Promo Venere Hôtels","Venere.com est le leader européen de la réservation hôtelière depuis 1995 ! Nous offrons une variété de plus de 104 000 établissements à réserver en ligne en Europe et dans le monde",2,4,"gif","merc15",5
"Voyages Loisirs","Cashback Voyages Loisirs Code Promo Voyages Loisirs","Voyages Loisirs est une société du groupe France Loisirs, et est le nº1 Français de la vente directe de location de résidences de vacances ; Voyages Loisirs propose plus de 1200 offres locations Hiver & été et ne ménage pas ses efforts pour les adhérents du Club depuis 20 ans !",2,82,"gif","merc16",5
"Relay.com","Cashback Relay.com Code Promo Relay.com","Relay.com propose plus de 400 magazines en téléchargement via des formules au numéro, en durée libre, en forfait first ou en forfait illimité. Il suffit alors de consulter son magazine sur son ordinateur, 24h/24 depuis la France et l'étranger ! ",9,41,"gif","merc17",5
"Donatello","Cashback Donatello Code Promo Donatello","Donatello est le tour-opérateur français spécialiste des séjours de charme et du voyage sur mesure vers plus de 25 destinations en Italie, Europe, Afrique et dans l'Océan Indien.  Donatello propose des séjours artistiques, romantiques, historiques, notamment au cœur des plus célèbres villes d’art du monde.",2,82,"gif","merc18",5
"Bravofly","Cashback Bravofly Code Promo Bravofly","Cherchez et réservez votre vol parmi plus de 100 compagnies aériennes, nous sélectionnons les meilleures offres proposées par plus de 100 compagnies aériennes!
Rejoignez les milliers de clients satisfaits qui ont déjà voyagé avec Bravofly.fr : recherche intuitive, paiement sécurisé.. ",2,2,"gif","merc19",5
"Auto Europe","Cashback Auto Europe Code Promo Auto Europe","Auto Europe c'est :

- l'un des principaux négociants au monde dans le domaine de la location de véhicule
- travaillant avec des loueurs internationaux de grande renommée tel qu'Avis, Europcar, Hertz...
- des tarifs extrêmement compétitifs, incluant les taxes et assurances ainsi que le rachat ou le remboursement de la franchise en cas de dommage du véhicule.
",2,3,"gif","merc20",5
"Carrefour Spectacles","Cashback Carrefour Spectacles Code Promo Carrefour Spectacles","CarrefourSpectacles est un service de billetterie en ligne proposé par Carrefour. Sa vocation est de vous proposer la réservation et l'achat en temps réel de vos billets de spectacles, sports et loisirs dans toute la France... ",13,38,"gif","merc21",5
"Châteaux & Hôtels ","Cashback Châteaux & Hôtels  Code Promo Châteaux & Hôtels ","Châteaux & Hôtels Collection est une chaîne hôtelière volontaire qui depuis 1975 réunit les établissements qui privilégient le charme, la tradition, l'authenticité et la sincérité. Implantées dans les nombreux sites remarquables des régions françaises et maintenant d'Europe, ces maisons offrent un service individualisé et attentionné.",2,4,"gif","merc22",5
"PartirPasCher","Cashback PartirPasCher Code Promo PartirPasCher","PartirPasCher, vous offre la possibilité de voyager à tout petit prix. En effet, PartirPasCher, vous propose tout au long de l’année des prix sacrifiés sur une large gamme de séjour et de week end. Avec près de 200 destinations de vacances possibles à travers le monde, Partir pas cher propose également un large de choix de vacances : séjours, circuits, croisières, week end, vol ou encore la réservation d’hôtel...",2,82,"gif","merc23",5
"Laboratoires Ponroy","Cashback Laboratoires Ponroy Code Promo Laboratoires Ponroy","Depuis plus de 30 ans, les Laboratoires YVES PONROY formulent, développent et fabriquent des compléments alimentaires et des produits de cosmétiques et d’hygiène Bio destinés à tous. ",10,44,"gif","merc24",5
"Mets Tes Lentilles","Cashback Mets Tes Lentilles Code Promo Mets Tes Lentilles","MetsTesLentilles.fr est le spécialiste des lentilles de contact sur internet. Ainsi les internautes pourront acheter leurs lentilles Mensuelles, Bimensuelles, Journalières, De Couleur ainsi que leurs Accessoires et Gouttes Hydrantes en toute satisfaction.",10,48,"gif","merc25",5
"Promosejours","Cashback Promosejours Code Promo Promosejours","Travaillant avec des partenaires reconnus et élaborant des voyages adaptés à toutes les envies et à tous les budgets, Promosejours affiche des offres de séjours de qualité, adossées à la garantie d’un stock propre. Outre les forfaits de séjours promosejours.com propose également des vols à travers sa marque Promovols",2,4,"gif","merc26",5
"FilmoTV","Cashback FilmoTV Code Promo FilmoTV","FilmoTV est un nouveau service de vidéo à la demande (VOD) créé par des professionnels du cinéma pour les amoureux du cinéma. Films récents ou cultes, films de genre, adultes, familiaux, français ou étrangers…, FilmoTV propose de télécharger légalement des films à l'unité ou par abonnement.",13,25,"gif","merc27",5
"Gibert Joseph","Cashback Gibert Joseph Code Promo Gibert Joseph","Leader parmi les librairies traditionnelles indépendantes, Gibert Joseph propose des livres neufs, épuisés, anciens en langue française, mais aussi des ouvrages en langues étrangères, des revues, des cds, Dvd, Dvd blu-ray… Acheter chez Gibert Joseph c’est avoir le choix du neuf ou de l’occasion parmi des centaines de milliers de références...",9,42,"gif","merc28",5
"Ecotour.com","Cashback Ecotour.com Code Promo Ecotour.com","Ecotour.com distribue les plus grands Tour Operators français, les discounts sont permanents (jusqu'à -75%), les prix sont TTC, les dispos des séjours sont indiquées en temps réel, et les témoignages et notes des clients sont non censurés! ",2,82,"gif","merc29",5
"Digixo.com","Cashback Digixo.com Code Promo Digixo.com","Digixo.com propose une sélection de produits high-tech à des prix parmi les meilleurs du marché (prix entre 20 et 40% moins chers que dans un magasin traditionnel).
",6,10,"gif","merc30",5
"Digitick","Cashback Digitick Code Promo Digitick","Digitick est un service de billetterie en ligne spécialiste du e-ticket. Choisissez les événements que vous souhaitez mettre en avant parmi un catalogue complet de plus de 25000 références : concerts, festivals, spectacles, musées, théâtres, parcs de loisirs, sport... Les internautes peuvent réserver leurs billets en ligne, les imprimer chez eux ou les télécharger sur leur mobile !",13,38,"gif","merc31",5
"Corine de Farme","Cashback Corine de Farme Code Promo Corine de Farme","Corine de Farme.fr est la boutique en ligne des produits de soins et de toilette pour toute la famille. Gammes naturelles, gestes essentiels de la toilette, parfums ou produits solaires, chacun y trouve son produit adapté et à petit prix.",10,44,"gif","merc32",5
"Coriolis","Cashback Coriolis Code Promo Coriolis","Coriolis propose une solution de téléphonie mobile adaptée aux besoins de tous. Présent sur le marché depuis plus de 20ans, Coriolis dispose d’une excellente couverture grâce au réseau de SFR et d’un service client de qualité, certifié ISO 9001.",3,7,"gif","merc33",5
"Corsair ","Cashback Corsair  Code Promo Corsair "," Corsair pour une meilleure transfo:
- 2ème compagnie régulière française
- 26 villes desservies : la Canada, les Caraïbes et l’Océan Indien
- Départs des grandes villes de Province
- Des bons plans toute l’année
- Des services adaptés aux familles (Enregistrement prioritaire, Animations à l’aéroport, nombreux diverti",2,2,"gif","merc34",5
"Lucien Barrière","Cashback Lucien Barrière Code Promo Lucien Barrière","Lucien Barrière Hôtels & Casinos, c'est en effet un ensemble d'hôtels-casinos, restaurants et établissements de luxe dans toute la France... Comme le célèbre Normandy Barrière à Deauville ! Mais aussi Cannes, Marrakech, Paris, Dinard, La Baule, Enghien-les-Bains... ",2,4,"gif","merc35",5
"PromoVacances","Cashback PromoVacances Code Promo PromoVacances","PromoVacances, N°1 français de la vente de séjours sur Internet, vous propose de réserver votre destination au meilleur rapport qualité/prix sur un très large choix de voyages. Avec près de 10 000 références et 120 destinations possibles à travers le monde, PromoVacances propose un réel service adapté à vos besoins dans toutes les catégories tarifaires en Europe et dans le monde entier. Promovacances offre un suivi ainsi qu' accompagnement de qualité à ses clients afin de les rassurer jusqu'au process de paiement final. ",2,82,"gif","merc36",5
"C&A","Cashback C&A Code Promo C&A","Avec ses nombreuses marques exclusives, le groupe C&A propose une collection pour tous les styles, de la tendance moderne et branchée à la mode classique et élégante, pour tous les âges : petits et grands. ",7,26,"gif","merc37",5
"Le Bourget","Cashback Le Bourget Code Promo Le Bourget","Le Bourget est une marque globale qui offre aux femmes élégantes et modernes de 30 à 45 ans une gamme de produits près du corps ( collants, leggings, tops, corseterie, etc. ) dans ""l'air du temps"" à un prix accessible avec une qualité et un savoir-faire de tradition française.",7,32,"gif","merc38",5
"Compagnie des Alpes","Cashback Compagnie des Alpes Code Promo Compagnie des Alpes","Après le Parc Astérix, la Compagnie des Alpes vous propose de nombreux autres Parcs ! Des destinations familiales et conviviales pour toute l'année ! La Compagnie des Alpes, ce sont prêts de 10 millions de visiteurs annuels dans tous les parcs du groupe",13,38,"gif","merc39",5
"Hostelbookers ","Cashback Hostelbookers  Code Promo Hostelbookers ","HostelBookers.com propose plus de 17 000 auberges, maisons d'hôtes, appartements et hôtels de qualité à petits budgets dans plus de 3000 destinations à travers le monde. Aucuns frais de réservation (donc de meilleurs taux de conversion), Hébergements de qualité à petits budgets .",2,4,"gif","merc40",5
"RENTACAR ","Cashback RENTACAR  Code Promo RENTACAR ","RENTACAR est un acteur incontournable de la location de voitures et de la location d'utilitaires en France. Loueur de véhicules de proximité, RENTACAR possède un large choix de véhicules, répartis dans un réseau de plus de 290 agences de location de voiture et points relais.",2,3,"gif","merc41",5
"SexyAvenue","Cashback SexyAvenue Code Promo SexyAvenue","SexyAvenue, distributeur officiel de plaisir, et faites entrer les internautes dans le monde merveilleux de l’érotisme ! Prix doux, large gamme, paiement sécurisé, discrétion et sérieux.",16,74,"gif","merc42",5
"HAVAS VOYAGES","Cashback HAVAS VOYAGES Code Promo HAVAS VOYAGES","Havas Voyages, spécialiste reconnu de la distribution de voyages pour les particuliers et les PME-PMI, compte aujourd’hui 449 agences de voyages réparties sur toute la France. Distributeur indépendant proposant une large sélection de tours opérateurs français tels que Nouvelles-Frontières, Fram, Marmara, Club Med, Kuoni, Vacances Transat, STI Voyages, Donatello, Costa, Jet Tours, de spécialistes de destinations ou de prestations plus spécifiques et de billetterie",2,82,"gif","merc43",5
"LAVINIA","Cashback LAVINIA Code Promo LAVINIA","L'un des points forts de l'enseigne est son exceptionnelle sélection de vins. Ainsi, peut-on trouver chez LAVINIA: 6000 références de vins et spiritueux du monde entier dont 2000 vins étrangers provenant de 43 pays. 500 références de livres & accessoires. C’est l’offre la plus vaste jamais proposée dans le domaine du vin.",8,33,"gif","merc44",5
"Pierre & Vacances","Cashback Pierre & Vacances Code Promo Pierre & Vacances","Le leader de la location de vacances propose de nombreuses résidences dans les plus belles destinations et toujours aux meilleurs emplacements. Mer, montagne, ville, campagne, Espagne, Italie, France... Il y aura une destination pour toutes les idées de vacances grâce aux différentes marques!",2,82,"gif","merc45",5
"Charmandising","Cashback Charmandising Code Promo Charmandising","Charmandising est une Société spécialisée dans la conception, la fabrication et la commercialisation de produits dérivés autour de la musique (t-shirts, accessoires...)avec un catalogue complet regroupant de nombreux artistes. Charmandising propose aux fans une collection de produits officiels incontournables dans tous les styles : Rock, Pop, Metal, Rap, Variété Française...",7,27,"gif","merc46",5
"Trefle.com","Cashback Trefle.com Code Promo Trefle.com","Depuis 2005, Trefle.com donne aux Internautes un accès à un très large choix : produits, services, loisirs, immo, auto, emploi, animaux… Le tout classé soit par catégorie, soit par région.Véritable marché des bonnes affaires, Trefle.com attire à la fois professionnels et particuliers. Il permet à ses visiteurs de trouver leur bonheur rapidement, facilement et surtout gratuitement !
",11,52,"gif","merc47",5
"Lightinthebox","Cashback Lightinthebox Code Promo Lightinthebox","Lightinthebox est un grand détaillant en ligne spécialisé dans les catégories Robes de Mariées et Robes de Soirée, Maison & Jardin et High Tech qui livre dans le monde entier à des prix défiant toute concurrence ! ",7,26,"gif","merc48",5
"Bleu Bonheur","Cashback Bleu Bonheur Code Promo Bleu Bonheur","Bleu Bonheur est LE site de vente de vêtements petits prix à destination des seniors. Bleu Bonheur fera découvrir à vos internautes un catalogue riche de produits variés pour tous les budgets !!! ",7,32,"gif","merc49",5
"VVF Villages","Cashback VVF Villages Code Promo VVF Villages","VVF Villages propose plus de 100 villages de vacances dans les plus beaux terroirs de France, des vacances en toutes saisons. Un village de vacances VVF Villages, c'est un accueil authentique, des séjours en location, pension complète ou 1/2 pension, des animations durant la journée et en soirée, des clubs pour les enfants et les ados (de 3 mois à 17 ans).",2,82,"gif","merc50",5
"BazarChic","Cashback BazarChic Code Promo BazarChic","BazarChic.com est un espace de ventes privées on-line avec plus de 90 à 100 ventes évènementielles organisées par mois!  Sur BazarChic.com vous trouverez les derniers créateurs, les marques les plus branchées et tendances dans bien des domaines (Mode homme, femme et enfant, Décoration, Accessoires), et ce à tout petit prix, allant de -40% à -70% par rapport au prix boutique.",7,31,"gif","merc51",5
"Holiday Cars","Cashback Holiday Cars Code Promo Holiday Cars","Holidaycars.com offre une formule tout-compris de location de voiture dans plus de 125 pays et pour 17000 destinations dans le monde. Grâce à son moteur de recherche performant et unique, l’utilisateur peut comparer les prix de différents prestataires en function de ce qu’il recherche (type de véhicule, date et lieu)
",2,3,"gif","merc52",5
"Bien et Bio","Cashback Bien et Bio Code Promo Bien et Bio","Plus de 1000 produits bio et zen (cosmétiques bio, produits de beauté bio, compléments alimentaires, literie, purificateurs, etc.) pour être bien et vivre bio.
",10,44,"gif","merc53",5
"Speedy","Cashback Speedy Code Promo Speedy","Speedy.fr est la boutique en ligne d’un des leaders du secteur de l’entretien automobile. Plusieurs milliers de références de pneus vendues jusqu’à 40% moins chères pour les clients sur Internet. C'est le seul site Internet en France à vendre des forfaits d’entretien de véhicules et le seul à proposer la bonne dimension de pneus en demandant simplement l’immatriculation du client.",14,63,"gif","merc54",5
"GiFi","Cashback GiFi Code Promo GiFi","GiFi est une marque connue et identifiée sur l’équipement de la maison pas cher : décoration, linge de maison, art de la table, mobilier, jouets, rangement, entretien...",4,11,"gif","merc55",5
"Wineandco","Cashback Wineandco Code Promo Wineandco","Wineandco est le leader de la vente de vins et spiritueux sur Internet ! Leur raison d'être ? Proposer, conseiller et livrer à domicile en Allemagne, Autriche, Belgique, France, Italie et au Royaume-Uni une sélection de plus de 10.000 références dont des vins de Bordeaux, Bourgognes, Champagnes, Rhône, vins du nouveau Monde, Italie, Espagne et spiritueux. ",8,33,"gif","merc56",5
"Planet-cards","Cashback Planet-cards Code Promo Planet-cards","Planet-cards, le spécialiste de la carterie, faire-part de naissance et mariage et du livre photo 100% personnalisable avec vos photos et textes. Fort de plusieurs années d'expériences on-line et off-line, Planet-cards proposent un large choix de modèles originaux et exclusifs réalisés par des de nombreux artistes et graphistes. ",9,37,"gif","merc57",5
"B-Europe (SNCB)","Cashback B-Europe (SNCB) Code Promo B-Europe (SNCB)"," La SNCB Europe transporte les internautes à travers toute l'Europe, que ce soit professionnel, pour du shopping, pour un city-trip ou tout simplement pour assouvir leur soif de tourisme ! Offrez à vos visiteurs le voyage en train, national ou international, de jour comme de nuit !",2,2,"gif","merc58",5
"Vacances Transat","Cashback Vacances Transat Code Promo Vacances Transat","Vacances Transat est le tour-opérateur spécialiste des voyages longs courriers et des circuits accompagnés.Experts des circuits accompagnés et individuels, séjours à la carte ou tout-inclus, chaque année près de 190 000 clients découvrent le monde grâce à des forfaits créés et pensés pour des voyageurs toujours plus exigeants.Vacances Transat est aujourd'hui un acteur majeur de l'industrie des voyages et se place dans les dix plus grandes entreprises de tourisme hexagonal. ",2,82,"gif","merc59",5
"XL.com","Cashback XL.com Code Promo XL.com","XL.com est le site internet grand public du groupe XL France dont la vocation principale est le transport aérien touristique au travers de la compagnie aérienne XL Airways France. Le groupe XL France possède également ses propres tours opérateurs spécialistes de leurs destinations (Crystal et Héliades) et des accords commerciaux avec de nombreux tours opérateurs extérieurs.",2,2,"gif","merc60",5
"NRJ Mobile","Cashback NRJ Mobile Code Promo NRJ Mobile","NRJ mobile c'est l'opérateur mobile « Génération Spontanée ». Il est un des leaders du marché auprès des jeunes. Il symbolise la liberté, l’évasion, la nouveauté et la diversité.",3,7,"gif","merc61",5
"Brandalley","Cashback Brandalley Code Promo Brandalley","Brandalley L'Allée des Marques, propose jusqu'à - 70% sur les marques les plus prestigieuses de la mode et de la décoration d’intérieur : Diesel, Cacharel, Dolce & Gabbana et bien d'autres !Brandalley travaille directement avec les marques haut de gamme et luxe des univers représentés, de façon à leur assurer un canal de distribution alternatif de leurs invendus de collections. ",7,31,"gif","merc62",5
"Club des Créateurs de Beauté","Cashback Club des Créateurs de Beauté Code Promo Club des Créateurs de Beauté","Club des Créateurs de Beauté, cet acteur est majeur de la vente à distance de cosmétiques propose des produits innovants et accessibles signés par des créateurs de renom tels qu' agnès b., le Professeur Baulieu, le Professeur Christine Poelman ou Jean-Marc Maniatis. La qualité des produits est régulièrement récompensée. Le fond de teint "" Teint Osmose"" d’agnès b. vient ainsi de remporter le prix ""Victoires de la Beauté 2010-2011"".",10,45,"gif","merc63",5
"eDreams","Cashback eDreams Code Promo eDreams","eDreams offre à ses clients une très large gamme de vols, hôtels, séjours, locations de voiture, locations de vacances, croisières... à des prix les plus compétitifs du marché, et cela avec la plus grande facilité et flexibilité. Grâce à une technologie avancée et de puissants moteurs de recherche, eDreams permet à ses clients de comparer, en un seul clic, des centaines de compagnies aériennes traditionnelles et low-cost et ainsi de trouver les meilleurs prix du marché. ",2,2,"gif","merc64",5
"Francetests","Cashback Francetests Code Promo Francetests","Les IPE, vous connaissez ? Les Interactive Personal Entertainment, sont ces petits services payants (jeux, tests, e-learning) de plus en plus prisés par les internautes désireux de s'amuser ou de mieux connaître leur personnalité. ",11,53,"gif","merc65",5
"Telemarket","Cashback Telemarket Code Promo Telemarket"," Telemarket est le 1er supermarché online en France. Vos courses sont livrées à domicile en moins de 24H ! Toutes vos marques et produits préférés : en frais, épicerie, fruits & légumes, boissons, surgelés, hygiène- beauté, mais aussi les produits enfants et bébés, maison & lingerie, entretien & animaux... sont disponibles.",4,23,"gif","merc66",5
"Weight Watchers","Cashback Weight Watchers Code Promo Weight Watchers","Weight Watchers Online n'est pas un régime, c'est un programme alimentaire 100% en ligne qui aide tous ceux qui le souhaitent à réussir à perdre du poids à un rythme raisonnable, dans les meilleures conditions, avec les connaissances et les informations nécessaires pour manger sainement et garder la forme sur la durée, en y intégrant de l'exercice physique et avec le support de la communauté online. ",10,19,"gif","merc67",5
"Direct Assurance Santé","Cashback Direct Assurance Santé Code Promo Direct Assurance Santé","Leader de l’assurance directe
650 000 clients nous font confiance Plus de services tout en étant moins cher Assistance 7j/7, 24h/24. Avec Direct Assurance, choisissez les garanties au meilleur prix : Tiers Payant gratuit (selon la formule) et remboursements sous 48h. ",10,56,"gif","merc68",5
" Dr. Pierre Ricaud","Cashback  Dr. Pierre Ricaud Code Promo  Dr. Pierre Ricaud","Depuis 25 ans, les laboratoires Dr. Pierre Ricaud, vous proposent des innovations beauté. Les produits Dr. Pierre Ricaud sont des produits de qualité, fabriqués en France, à des prix accessibles. ",10,44,"gif","merc69",5
"Brussels Airlines","Cashback Brussels Airlines Code Promo Brussels Airlines","Un large réseau international comptant plus de 50 destinations européennes d'exception, 13 destinations en Afrique mais également des vols longs courriers tous les jours à destination de Moscou, Helsinki, Tel-Aviv...",2,2,"gif","merc70",5
" Direct Assurance Auto","Cashback  Direct Assurance Code Promo  Direct Assurance","Les prix, les services, la simplicité avec le LEADER de l'assurance direct!  Pourquoi choisir Direct Assurance?  Leader de l’assurance directe 650 000 clients nous font confiance
Plus de services tout en étant moins cher Assistance 7j/7, 24h/24 Direct Assurance Auto vous rembourse 2x la différence si vous trouvez moins cher ailleurs pour des garanties identiques!",14,56,"gif","merc71",5
"Wataro","Cashback Wataro Code Promo Wataro","Wataro est un site 100% original qui a pour offrir une expérience de jeu unique.Wataro propose un max de jeux d’adresses différents grâce auxquels les joueurs peuvent se mesurer à une multitude d’adversaires, miser de l’argent et remporter de vrais gains. Les jeux proposés sur Wataro sont des jeux d’adresse développés spécialement pour la grande communauté de joueurs Wataro. ",15,58,"gif","merc72",5
"Direct Energie","Cashback Direct Energie Code Promo Direct Energie","Direct Energie, c'est des solutions énergétiques sur-mesure pour les particuliers, les entreprises, et les collectivités territoriales.",4,52,"gif","merc73",5
"Abonnement Libre","Cashback Abonnement Libre Code Promo Abonnement Libre","Retrouvez tous vos magazines préférés sur le site Abonnement Libre. Une formule d'abonnement presse en toute liberté. Plus de 250 magazines moins chers qu'en kiosque directement chez soi. Un règlement en toute simplicité des numéros reçus mois par mois.",9,60,"gif","merc74",5
"Parc Astérix","Cashback Parc Astérix Code Promo Parc Astérix","Le Parc Astérix, deuxième Pars d'attraction de France,  Situé à 30 kms au Nord de Paris, le Parc propose de nombreuses aventures pour toute la famille à travers les différents mondes d'Astérix : la galère Viking, Goudurix, Menhir express, ou le spectace aquatique des dauphins vous assureront des sensations garanties ! Les plus jeunes auront le plaisir de rencontrer leurs héros préférés et les plus grand pourront retomber en enfance le temps de quelques attractions.",13,61,"gif","merc75",5
"Daniel Jouvance","Cashback Daniel Jouvance Code Promo Daniel Jouvance","Daniel Jouvance, 1ère marque européenne de cosmétique marine, avec plus d'1 million de clientes, propose des soins corps, visage et compléments alimentaires au service de la beauté .",10,44,"gif","merc76",5
"Futuroscope","Cashback Futuroscope Code Promo Futuroscope","Avec près de 40 millions de visiteurs depuis sa création et un nombre croissant de re-visiteurs, l’attractivité du Futuroscope repose sur une stratégie de développement audacieuse .  Véritable destination ""Séjour""  qui allie la découverte d’un parc de loisirs différent pour toute la famille et un vaste choix d’hébergements sur place, le Futuroscope continue d’attirer toutes les générations avec Arthur, l’aventure 4D et plus de cinq nouveautés cette année, dont Monstres des Mers et, en avril, le 8e Continent. ",13,82,"gif","merc77",5
"Budget Mobile","Cashback Budget Mobile Code Promo Budget Mobile","Budget Mobile : Les forfaits mobiles moins cher avec de nombreux avantages : Pas d'engagement de durée. Des prix minis : nos forfaits sont à tout petit prix : à partir de 1,99€ pour les forfaits d'appels, de 1,50€ pour les forfaits SMS, de 9.90€ pour l'internet mobile. ",3,7,"gif","merc78",5
"Fleurance Nature","Cashback Fleurance Nature Code Promo Fleurance Nature","Fleurance Nature est l’acteur majeur de la vente à distance de compléments alimentaires naturels et cosmétiques bio.Un catalogue de produits large et labellisés",8,35,"gif","merc79",5
"HRS","Cashback HRS Code Promo HRS","HRS propose de réserver au meilleur prix plus de 250 000 hôtels dans toutes les catégories tarifaires en Europe et dans le monde entier. Le système permet les réservations directes gratuites avec confirmation immédiate à des prix spécifiques HRS mis à jour en permanence. ",2,4,"gif","merc80",5
"zooplus.fr","Cashback Zooplus Code Promo Zooplus","L'animalerie en ligne zooplus propose plus de 7 500 produits, soit un très large choix de nourriture et d'accessoires pour animaux :
- niche,
- arbre à chat,
- panier,
- chatière, ",4,15,"gif","merc81",5
"123fleurs","Cashback 123fleurs Code Promo 123fleurs","123FLEURS.COM se positionne comme l'un des leaders de la vente de fleurs sur Internet depuis 1999. Nos bouquets sont livrés par un réseau d'artisans fleuristes de qualité répartis sur toute la France. Nos frais de livraisons sont les moins chers du marché : 9,90 euros ! Pour toute commande passée avant 17 heures, nous livrons le jour même. Nous livrons également les dimanches et jours fériés. ",8,35,"gif","merc82",5
"sixt.com","Cashback Sixt Code Promo Sixt","Fondé en 1912 en Allemagne par Martin Sixt, le groupe Sixt est aujourd’hui présent dans le monde entier dans 80 pays et 7500 agences. Lancé en 1998 la réservation devient possible via Internet. Le site Internet de Sixt s'adresse aussi bien au grand public qu'aux professionnels et propose un service formidable aux multiples avantages. La stratégie est partie intégrante de la volonté du groupe de se positionner comme un fournisseur global de mobilité",2,3,"gif","merc83",5
